# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	4685
#@/user_id	884253d3-7f28-4531-9f27-e91562b61ca9
de fang shi 	的方式	c=3 d=0.206696 t=4685
de hao chu 	的好處	c=1 d=1 t=3932
de hua 	的話	c=24 d=2.21536 t=4685
de ji zi 	的機子	c=2 d=1.07291 t=4267
de ju ju 	的菊苣	c=1 d=1 t=2779
de le 	的了	c=1 d=0.771052 t=4685
de ma 	的嗎	c=4 d=0.181541 t=4685
de o 	的哦	c=1 d=1 t=2862
de ren 	的人	c=5 d=1.91725 t=4634
de she zhi li 	的設置裏	c=1 d=0.0250972 t=4685
de shi 	的事	c=1 d=0.860708 t=4685
de shi 	的是	c=1 d=0.490628 t=3578
de shi 	的詩	c=1 d=1 t=4444
de shi hou 	的時候	c=9 d=0.610257 t=4685
de shi qing 	的事情	c=1 d=1 t=2984
de shu chu 	的輸出	c=1 d=0.053397 t=4685
de wo 	的我	c=1 d=0.00421123 t=4685
de xing neng 	的性能	c=1 d=1 t=4670
de xing wei 	的行爲	c=1 d=0.0104621 t=4685
de ya 	的呀	c=1 d=0.324249 t=3310
de yang zi 	的樣子	c=1 d=0.0093592 t=4685
de yi jie 	的一屆	c=1 d=1 t=3715
de yi si 	的意思	c=2 d=0.101774 t=4685
dei 	得	c=1 d=0.118245 t=4685
deng 	等	c=2 d=1.99005 t=4113
deng dai 	等待	c=1 d=0.00744658 t=4685
deng hui 	燈會	c=1 d=1 t=3327
deng hui 	等會	c=1 d=1 t=3328
deng lu 	登錄	c=1 d=0.98523 t=4685
deng lu de shi hou 	登錄的時候	c=1 d=0.264477 t=4685
deng xiao 	等效	c=0 d=0.0107528 t=4685
deng xiao ti dai pin 	等效替代品	c=1 d=0.108067 t=4685
deng yi xia 	等一下	c=2 d=0.0655462 t=4685
di 	迪	c=1 d=0.00790705 t=4685
di fang 	地方	c=1 d=0.00824965 t=4685
di gu 	低估	c=0 d=0.1 t=3707
di gu le 	低估了	c=1 d=1 t=3708
di jin 	遞進	c=3 d=2.44246 t=3920
di ku 	底褲	c=1 d=0.666977 t=4685
di qiu 	地球	c=1 d=1 t=3178
di san 	第三	c=0 d=0.013466 t=4685
di san hang 	第三行	c=2 d=0.274097 t=4685
di shi 	的士	c=1 d=1 t=4431
di si ci 	第四次	c=1 d=0.425283 t=4685
di yi ci 	第一次	c=2 d=0.0991221 t=4685
di yi ge 	第一個	c=1 d=1.07118 t=4621
di yi yan 	第一眼	c=1 d=0.0374406 t=4685
di zhi 	地址	c=3 d=0.447982 t=4685
di zhi shi 	地址是	c=1 d=0.183599 t=4685
dian 	點	c=1 d=0.00487226 t=4685
dian dao le 	點到了	c=1 d=0.0144798 t=4685
dian dian 	點點	c=1 d=0.00740944 t=4685
dian fei 	電費	c=2 d=0.883229 t=4685
dian ji 	點擊	c=0 d=0.1 t=3571
dian ji huo 	點激活	c=1 d=1 t=3647
dian ji ta 	點擊他	c=1 d=1 t=3572
dian le 	點了	c=0 d=0.00195457 t=4685
dian le ba 	點了吧	c=1 d=0.0196437 t=4685
dian nao 	電腦	c=2 d=0.131994 t=4685
dian nao da you xi 	電腦打遊戲	c=1 d=0.0139818 t=4685
dian nao mei you 	電腦沒有	c=1 d=1 t=2323
dian xin 	電信	c=5 d=0.0267827 t=4685
diao 	掉	c=2 d=0.0642483 t=4685
diao le 	掉了	c=0 d=0.1 t=3662
diao xia qu 	掉下去	c=0 d=0.000449405 t=4685
diao xia qu le 	掉下去了	c=1 d=0.00505731 t=4685
diao xian 	掉線	c=0 d=0.0055299 t=4685
diao yong 	調用	c=1 d=0.923116 t=4685
ding 	定	c=1 d=0.00585769 t=4685
ding dian 	定點	c=1 d=1 t=4572
ding jing 	定睛	c=0 d=0.00381969 t=4685
ding jing yi kai 	定睛一開	c=1 d=0.0383884 t=4685
ding lan 	頂欄	c=1 d=1 t=3522
ding shi 	定時	c=1 d=0.00782838 t=4685
ding zhi hua 	定製化	c=1 d=0.146607 t=4685
dong 	懂	c=2 d=0.026054 t=4685
dong 	東	c=1 d=0.0042963 t=4685
dong de 	懂得	c=2 d=0.0202582 t=4685
dong duo le 	懂多了	c=1 d=0.261846 t=4685
dong guo 	動過	c=0 d=0.1 t=2953
dong le 	懂了	c=3 d=0.198276 t=4685
dong man 	動漫	c=0 d=0.000217658 t=4685
dong man ming cheng 	動漫名稱	c=1 d=0.00218749 t=4685
dong men 	東門	c=1 d=1 t=4119
dong xi 	東西	c=3 d=0.520283 t=4685
dong xi a 	東西啊	c=1 d=0.0675424 t=4685
dong xi nan bei 	東西南北	c=1 d=1 t=4136
dou 	抖	c=2 d=0.341298 t=4685
dou 	都	c=10 d=0.590043 t=4685
dou bei 	都被	c=1 d=1 t=4478
dou bu hui chu xian 	都不會出現	c=1 d=0.00767337 t=4685
dou bu yong 	都不用	c=1 d=1 t=2898
